Interval,10000,usec,,,,,,,,,,
pin0,pin1,pin2,pin3,,,,,,Offsets,,,
950,929,939,836,,,,,,950.326732673267,926.861386138614,935.118811881188,836.346534653465
950,929,939,835,,0,3,4,-1,950,926,935,836
950,929,939,836,,0,3,4,0,,,,
950,929,939,836,,0,3,4,0,,,,
950,929,939,836,,0,3,4,0,,,,
950,929,939,836,,0,3,4,0,,,,
950,929,939,836,,0,3,4,0,,,,
950,929,939,836,,0,3,4,0,,,,
949,928,939,836,,-1,2,4,0,,,,
950,929,939,836,,0,3,4,0,,,,
950,929,940,835,,0,3,5,-1,,,,
950,929,940,835,,0,3,5,-1,,,,
950,929,939,835,,0,3,4,-1,,,,
949,929,939,835,,-1,3,4,-1,,,,
950,929,939,835,,0,3,4,-1,,,,
950,929,940,835,,0,3,5,-1,,,,
950,929,939,835,,0,3,4,-1,,,,
950,928,940,835,,0,2,5,-1,,,,
950,928,939,835,,0,2,4,-1,,,,
950,928,940,835,,0,2,5,-1,,,,
949,928,939,835,,-1,2,4,-1,,,,
950,928,939,835,,0,2,4,-1,,,,
950,928,940,835,,0,2,5,-1,,,,
950,928,940,835,,0,2,5,-1,,,,
950,928,939,835,,0,2,4,-1,,,,
951,928,936,835,,1,2,1,-1,,,,
952,927,934,843,,2,1,-1,7,,,,
950,926,934,842,,0,0,-1,6,,,,
952,926,934,843,,2,0,-1,7,,,,
952,926,934,843,,2,0,-1,7,,,,
951,927,936,838,,1,1,1,2,,,,
951,926,936,838,,1,0,1,2,,,,
952,926,937,839,,2,0,2,3,,,,
952,926,937,839,,2,0,2,3,,,,
952,924,935,839,,2,-2,0,3,,,,
953,924,935,839,,3,-2,0,3,,,,
952,923,934,839,,2,-3,-1,3,,,,
951,923,934,840,,1,-3,-1,4,,,,
948,922,934,839,,-2,-4,-1,3,,,,
948,923,934,839,,-2,-3,-1,3,,,,
948,923,934,838,,-2,-3,-1,2,,,,
948,923,934,838,,-2,-3,-1,2,,,,
949,923,934,833,,-1,-3,-1,-3,,,,
950,923,933,833,,0,-3,-2,-3,,,,
950,923,934,833,,0,-3,-1,-3,,,,
950,923,933,832,,0,-3,-2,-4,,,,
949,924,933,832,,-1,-2,-2,-4,,,,
948,924,934,832,,-2,-2,-1,-4,,,,
947,924,934,832,,-3,-2,-1,-4,,,,
948,924,933,832,,-2,-2,-2,-4,,,,
948,924,933,832,,-2,-2,-2,-4,,,,
948,924,934,832,,-2,-2,-1,-4,,,,
947,924,933,832,,-3,-2,-2,-4,,,,
948,924,933,832,,-2,-2,-2,-4,,,,
949,924,932,832,,-1,-2,-3,-4,,,,
951,926,932,832,,1,0,-3,-4,,,,
951,926,932,832,,1,0,-3,-4,,,,
951,927,931,837,,1,1,-4,1,,,,
952,927,932,837,,2,1,-3,1,,,,
950,927,932,837,,0,1,-3,1,,,,
949,927,934,837,,-1,1,-1,1,,,,
949,927,934,837,,-1,1,-1,1,,,,
950,927,934,837,,0,1,-1,1,,,,
950,927,933,837,,0,1,-2,1,,,,
951,927,932,837,,1,1,-3,1,,,,
951,927,932,837,,1,1,-3,1,,,,
951,927,932,837,,1,1,-3,1,,,,
951,927,932,836,,1,1,-3,0,,,,
951,927,933,836,,1,1,-2,0,,,,
951,927,933,837,,1,1,-2,1,,,,
951,928,934,837,,1,2,-1,1,,,,
950,928,934,836,,0,2,-1,0,,,,
949,928,934,837,,-1,2,-1,1,,,,
949,928,935,837,,-1,2,0,1,,,,
950,928,934,837,,0,2,-1,1,,,,
950,927,934,837,,0,1,-1,1,,,,
950,927,934,837,,0,1,-1,1,,,,
951,928,934,837,,1,2,-1,1,,,,
951,928,934,838,,1,2,-1,2,,,,
951,928,934,837,,1,2,-1,1,,,,
951,928,934,836,,1,2,-1,0,,,,
952,928,934,837,,2,2,-1,1,,,,
952,928,934,841,,2,2,-1,5,,,,
952,928,934,841,,2,2,-1,5,,,,
952,928,934,841,,2,2,-1,5,,,,
952,928,934,840,,2,2,-1,4,,,,
951,928,934,841,,1,2,-1,5,,,,
951,928,934,837,,1,2,-1,1,,,,
952,928,934,838,,2,2,-1,2,,,,
952,928,934,836,,2,2,-1,0,,,,
952,928,934,836,,2,2,-1,0,,,,
951,927,934,836,,1,1,-1,0,,,,
951,928,934,836,,1,2,-1,0,,,,
951,927,933,836,,1,1,-2,0,,,,
951,928,934,836,,1,2,-1,0,,,,
951,928,934,837,,1,2,-1,1,,,,
951,928,934,835,,1,2,-1,-1,,,,
952,928,934,839,,2,2,-1,3,,,,
951,928,934,839,,1,2,-1,3,,,,
952,928,935,837,,2,2,0,1,,,,
951,928,935,835,,1,2,0,-1,,,,
950,928,935,830,,0,2,0,-6,,,,
948,929,934,831,,-2,3,-1,-5,,,,
947,929,934,831,,-3,3,-1,-5,,,,
945,929,934,833,,-5,3,-1,-3,,,,
943,929,938,833,,-7,3,3,-3,,,,
943,929,938,833,,-7,3,3,-3,,,,
943,930,938,833,,-7,4,3,-3,,,,
943,930,938,833,,-7,4,3,-3,,,,
943,930,938,833,,-7,4,3,-3,,,,
943,930,938,834,,-7,4,3,-2,,,,
943,930,939,834,,-7,4,4,-2,,,,
943,930,939,833,,-7,4,4,-3,,,,
944,930,937,834,,-6,4,2,-2,,,,
944,930,937,834,,-6,4,2,-2,,,,
945,930,937,834,,-5,4,2,-2,,,,
945,929,937,834,,-5,3,2,-2,,,,
945,930,937,834,,-5,4,2,-2,,,,
945,930,937,835,,-5,4,2,-1,,,,
946,930,937,834,,-4,4,2,-2,,,,
946,930,937,834,,-4,4,2,-2,,,,
946,929,937,835,,-4,3,2,-1,,,,
946,930,937,834,,-4,4,2,-2,,,,
946,929,938,834,,-4,3,3,-2,,,,
946,929,937,834,,-4,3,2,-2,,,,
945,929,937,834,,-5,3,2,-2,,,,
945,929,938,834,,-5,3,3,-2,,,,
945,929,938,834,,-5,3,3,-2,,,,
945,930,938,834,,-5,4,3,-2,,,,
946,929,938,834,,-4,3,3,-2,,,,
945,929,938,834,,-5,3,3,-2,,,,
945,929,939,834,,-5,3,4,-2,,,,
945,929,938,834,,-5,3,3,-2,,,,
945,929,938,833,,-5,3,3,-3,,,,
945,929,938,832,,-5,3,3,-4,,,,
945,929,938,833,,-5,3,3,-3,,,,
945,929,938,832,,-5,3,3,-4,,,,
945,929,939,832,,-5,3,4,-4,,,,
945,929,939,833,,-5,3,4,-3,,,,
945,929,939,833,,-5,3,4,-3,,,,
945,929,939,833,,-5,3,4,-3,,,,
945,929,939,833,,-5,3,4,-3,,,,
945,929,939,832,,-5,3,4,-4,,,,
945,929,939,832,,-5,3,4,-4,,,,
945,929,939,833,,-5,3,4,-3,,,,
945,929,939,832,,-5,3,4,-4,,,,
945,929,939,833,,-5,3,4,-3,,,,
945,929,939,832,,-5,3,4,-4,,,,
945,929,939,832,,-5,3,4,-4,,,,
945,929,939,832,,-5,3,4,-4,,,,
945,929,939,831,,-5,3,4,-5,,,,
945,929,939,829,,-5,3,4,-7,,,,
945,929,939,830,,-5,3,4,-6,,,,
945,929,940,832,,-5,3,5,-4,,,,
945,929,940,830,,-5,3,5,-6,,,,
945,930,940,828,,-5,4,5,-8,,,,
945,929,940,830,,-5,3,5,-6,,,,
945,929,940,830,,-5,3,5,-6,,,,
945,929,940,828,,-5,3,5,-8,,,,
945,929,940,828,,-5,3,5,-8,,,,
946,929,940,828,,-4,3,5,-8,,,,
946,929,940,828,,-4,3,5,-8,,,,
946,929,940,828,,-4,3,5,-8,,,,
946,929,940,828,,-4,3,5,-8,,,,
946,929,940,828,,-4,3,5,-8,,,,
946,930,941,830,,-4,4,6,-6,,,,
946,929,940,830,,-4,3,5,-6,,,,
946,929,940,828,,-4,3,5,-8,,,,
946,929,939,832,,-4,3,4,-4,,,,
946,929,938,828,,-4,3,3,-8,,,,
946,929,938,829,,-4,3,3,-7,,,,
946,929,939,829,,-4,3,4,-7,,,,
946,929,939,829,,-4,3,4,-7,,,,
947,929,939,830,,-3,3,4,-6,,,,
946,929,940,830,,-4,3,5,-6,,,,
946,929,941,829,,-4,3,6,-7,,,,
945,929,941,830,,-5,3,6,-6,,,,
946,929,941,829,,-4,3,6,-7,,,,
947,929,941,829,,-3,3,6,-7,,,,
947,929,940,834,,-3,3,5,-2,,,,
948,929,940,834,,-2,3,5,-2,,,,
948,929,940,834,,-2,3,5,-2,,,,
948,929,939,834,,-2,3,4,-2,,,,
948,929,939,834,,-2,3,4,-2,,,,
948,929,939,834,,-2,3,4,-2,,,,
948,929,939,834,,-2,3,4,-2,,,,
947,929,939,834,,-3,3,4,-2,,,,
947,929,938,834,,-3,3,3,-2,,,,
947,929,938,834,,-3,3,3,-2,,,,
949,929,937,834,,-1,3,2,-2,,,,
951,929,934,834,,1,3,-1,-2,,,,
950,929,934,834,,0,3,-1,-2,,,,
953,929,932,834,,3,3,-3,-2,,,,
954,929,932,839,,4,3,-3,3,,,,
953,929,931,837,,3,3,-4,1,,,,
954,928,931,837,,4,2,-4,1,,,,
955,929,930,837,,5,3,-5,1,,,,
955,928,930,837,,5,2,-5,1,,,,
954,929,931,837,,4,3,-4,1,,,,
955,929,931,837,,5,3,-4,1,,,,
954,929,932,837,,4,3,-3,1,,,,
953,929,933,837,,3,3,-2,1,,,,
953,929,933,832,,3,3,-2,-4,,,,
953,929,933,832,,3,3,-2,-4,,,,
953,929,933,832,,3,3,-2,-4,,,,
953,929,933,832,,3,3,-2,-4,,,,
953,929,932,832,,3,3,-3,-4,,,,
953,929,932,834,,3,3,-3,-2,,,,
954,928,932,834,,4,2,-3,-2,,,,
954,929,932,834,,4,3,-3,-2,,,,
954,929,932,833,,4,3,-3,-3,,,,
954,929,932,834,,4,3,-3,-2,,,,
954,929,932,833,,4,3,-3,-3,,,,
954,929,932,834,,4,3,-3,-2,,,,
954,929,932,834,,4,3,-3,-2,,,,
954,929,932,834,,4,3,-3,-2,,,,
954,929,932,834,,4,3,-3,-2,,,,
953,929,931,839,,3,3,-4,3,,,,
954,929,932,839,,4,3,-3,3,,,,
954,929,932,839,,4,3,-3,3,,,,
953,928,932,839,,3,2,-3,3,,,,
953,929,932,839,,3,3,-3,3,,,,
953,929,931,839,,3,3,-4,3,,,,
953,929,932,839,,3,3,-3,3,,,,
953,929,932,839,,3,3,-3,3,,,,
953,928,932,839,,3,2,-3,3,,,,
952,929,932,839,,2,3,-3,3,,,,
952,929,932,839,,2,3,-3,3,,,,
952,929,932,839,,2,3,-3,3,,,,
952,928,932,839,,2,2,-3,3,,,,
952,928,932,839,,2,2,-3,3,,,,
953,929,933,839,,3,3,-2,3,,,,
952,929,934,839,,2,3,-1,3,,,,
952,928,934,833,,2,2,-1,-3,,,,
951,928,935,833,,1,2,0,-3,,,,
953,928,935,833,,3,2,0,-3,,,,
954,928,934,833,,4,2,-1,-3,,,,
953,928,934,833,,3,2,-1,-3,,,,
954,928,934,833,,4,2,-1,-3,,,,
954,928,934,832,,4,2,-1,-4,,,,
953,928,934,832,,3,2,-1,-4,,,,
952,928,934,832,,2,2,-1,-4,,,,
953,928,934,832,,3,2,-1,-4,,,,
953,928,934,833,,3,2,-1,-3,,,,
953,929,934,833,,3,3,-1,-3,,,,
953,928,934,833,,3,2,-1,-3,,,,
954,928,934,833,,4,2,-1,-3,,,,
953,928,934,832,,3,2,-1,-4,,,,
953,928,934,833,,3,2,-1,-3,,,,
953,928,934,833,,3,2,-1,-3,,,,
953,928,934,833,,3,2,-1,-3,,,,
953,928,934,833,,3,2,-1,-3,,,,
953,928,933,832,,3,2,-2,-4,,,,
953,929,932,837,,3,3,-3,1,,,,
953,928,932,837,,3,2,-3,1,,,,
953,929,932,837,,3,3,-3,1,,,,
953,929,932,837,,3,3,-3,1,,,,
953,928,932,837,,3,2,-3,1,,,,
953,928,933,837,,3,2,-2,1,,,,
953,928,933,837,,3,2,-2,1,,,,
953,929,933,837,,3,3,-2,1,,,,
951,928,934,837,,1,2,-1,1,,,,
943,928,940,838,,-7,2,5,2,,,,
942,928,943,838,,-8,2,8,2,,,,
943,928,944,833,,-7,2,9,-3,,,,
943,928,944,833,,-7,2,9,-3,,,,
944,928,945,833,,-6,2,10,-3,,,,
942,928,945,833,,-8,2,10,-3,,,,
942,928,945,838,,-8,2,10,2,,,,
942,928,945,838,,-8,2,10,2,,,,
944,928,945,838,,-6,2,10,2,,,,
944,928,945,833,,-6,2,10,-3,,,,
944,928,945,833,,-6,2,10,-3,,,,
944,928,946,833,,-6,2,11,-3,,,,
944,928,945,833,,-6,2,10,-3,,,,
944,928,945,833,,-6,2,10,-3,,,,
944,928,945,834,,-6,2,10,-2,,,,
943,928,945,834,,-7,2,10,-2,,,,
944,928,945,833,,-6,2,10,-3,,,,
