A -130,-155,998
G 0.7,-4.3,-0.4
M 69,40,-832
A -129,-155,999
G 0.7,-4.3,-0.4
M 72,43,-832
A -130,-155,999
G 0.7,-4.2,-0.4
M 66,34,-838
A -131,-155,999
G 0.7,-4.2,-0.4
M 72,51,-841
A -131,-155,999
G 0.7,-4.2,-0.4
M 70,46,-834
A -130,-155,998
G 0.7,-4.3,-0.4
M 64,46,-838
A -130,-156,999
G 0.7,-4.3,-0.3
M 67,42,-828
A -131,-155,999
G 0.7,-4.4,-0.4
M 69,54,-835
A -131,-155,999
G 0.7,-4.4,-0.4
M 61,46,-835
A -130,-155,998
G 0.7,-4.3,-0.4
M 63,43,-843
A -130,-155,998
G 0.7,-4.3,-0.4
M 63,43,-843
A -131,-155,999
G 0.7,-4.3,-0.3
M 63,42,-840
A -131,-155,999
G 0.7,-4.2,-0.4
M 63,49,-840
A -130,-155,1000
G 0.7,-4.3,-0.4
M 63,48,-840
A -131,-156,999
G 0.7,-4.3,-0.4
M 70,51,-837
A -131,-156,999
G 0.7,-4.2,-0.4
M 66,33,-838
A -130,-155,999
G 0.7,-4.4,-0.4
M 73,46,-828
A -131,-156,999
G 0.7,-4.3,-0.4
M 60,45,-843
A -131,-155,998
G 0.7,-4.4,-0.4
M 64,43,-841
A -131,-155,999
G 0.7,-4.4,-0.3
M 72,52,-838
A -131,-155,998
G 0.7,-4.3,-0.4
M 69,45,-829
A -131,-155,1000
G 0.7,-4.3,-0.4
M 75,49,-828
A -131,-156,1000
G 0.7,-4.4,-0.4
M 73,36,-837
A -131,-156,1000
G 0.7,-4.3,-0.4
M 73,45,-835
A -131,-155,998
G 0.7,-4.4,-0.4
M 70,43,-843
A -130,-156,999
G 0.7,-4.4,-0.4
M 64,42,-835
A -131,-155,999
G 0.7,-4.3,-0.4
M 67,43,-837
A -131,-155,1000
G 0.7,-4.3,-0.4
M 67,45,-841
A -131,-155,998
G 0.6,-4.4,-0.4
M 69,45,-829
A -132,-155,1001
G 0.7,-4.3,-0.4
M 58,36,-840
A -131,-155,1000
G 0.7,-4.3,-0.4
M 63,45,-834
A -131,-155,1000
G 0.7,-4.3,-0.3
M 66,42,-828
A -131,-156,998
G 0.6,-4.3,-0.4
M 66,40,-843
A -131,-155,1000
G 0.7,-4.3,-0.4
M 66,46,-838
A -131,-154,999
G 0.7,-4.4,-0.4
M 66,45,-843
A -130,-156,999
G 0.7,-4.3,-0.4
M 61,49,-838
A -131,-155,999
G 0.6,-4.3,-0.4
M 69,43,-831
A -132,-155,999
G 0.7,-4.3,-0.4
M 61,46,-841
A -132,-155,999
G 0.7,-4.3,-0.4
M 66,49,-841
A -131,-155,1000
G 0.7,-4.3,-0.4
M 60,46,-832
A -131,-156,998
G 0.6,-4.4,-0.4
M 67,43,-829
A -130,-155,999
G 0.7,-4.4,-0.4
M 69,46,-831
A -131,-155,999
G 0.7,-4.3,-0.4
M 64,42,-843
A -131,-155,999
G 0.8,-4.4,-0.4
M 66,39,-841
A -131,-156,999
G 0.7,-4.4,-0.4
M 63,42,-832
A -131,-156,998
G 0.7,-4.2,-0.4
M 66,48,-834
A -131,-155,999
G 0.7,-4.4,-0.4
M 70,52,-831
A -131,-156,998
G 0.7,-4.4,-0.3
M 66,48,-835
A -130,-156,999
G 0.7,-4.4,-0.4
M 67,39,-835
A -130,-155,999
G 0.8,-4.3,-0.4
M 73,43,-840
A -131,-155,999
G 0.7,-4.3,-0.4
M 58,46,-835
A -131,-155,999
G 0.7,-4.4,-0.4
M 63,39,-835
A -131,-154,1000
G 0.7,-4.3,-0.4
M 54,40,-832
A -130,-156,999
G 0.7,-4.3,-0.3
M 69,37,-838
A -130,-155,999
G 0.7,-4.3,-0.4
M 64,40,-831
A -131,-155,999
G 0.8,-4.4,-0.4
M 69,42,-831
A -131,-155,999
G 0.7,-4.3,-0.4
M 67,40,-838
A -131,-155,999
G 0.7,-4.4,-0.4
M 67,51,-831
A -131,-155,1000
G 0.7,-4.3,-0.4
M 67,40,-831
A -131,-155,998
G 0.7,-4.3,-0.4
M 60,43,-831
A -131,-155,999
G 0.7,-4.3,-0.4
M 67,43,-834
A -130,-156,1000
