A,-239,750,-680
G,-13.4,0.5,4.3
M,-278,-270,17
A,-171,712,-712
G,-11.9,-7.4,11.5
M,-283,-264,12
A,-301,705,-761
G,11.5,-13.3,2.1
M,-295,-265,0
A,-166,619,-695
G,14.0,-8.1,-5.1
M,-289,-262,8
A,-239,615,-727
G,6.0,-7.7,-5.0
M,-283,-252,0
A,-254,643,-699
G,2.3,0.7,8.4
M,-275,-261,0
A,-246,638,-707
G,-5.6,7.3,4.4
M,-281,-262,18
A,-183,663,-687
G,-0.1,7.9,4.2
M,-283,-259,6
A,-251,678,-734
G,-7.2,5.8,3.4
M,-293,-274,14
A,-226,667,-696
G,-7.4,5.3,-0.7
M,-293,-285,14
A,-202,665,-711
G,-10.0,2.3,-5.1
M,-290,-285,17
A,-189,665,-699
G,-8.1,1.5,-5.4
M,-280,-288,12
A,-204,684,-717
G,-6.0,-2.3,-4.3
M,-295,-277,8
A,-193,680,-683
G,-3.5,0.9,-0.7
M,-296,-288,5
A,-192,668,-703
G,0.0,-2.1,-2.2
M,-296,-277,8
A,-210,676,-679
G,-2.9,4.6,-0.3
M,-298,-286,9
A,-213,687,-713
G,-2.4,5.8,-3.0
M,-295,-291,8
A,-194,684,-684
G,-5.1,7.4,-2.5
M,-299,-294,11
A,-178,709,-692
G,-5.6,7.9,-3.8
M,-298,-303,2
A,-177,694,-690
G,-1.8,-3.0,-1.1
M,-292,-312,2
A,-182,688,-693
G,-0.9,-0.2,-1.8
M,-305,-303,3
A,-178,687,-695
G,1.8,2.2,-3.3
M,-305,-304,11
A,-174,689,-679
G,-2.5,2.1,0.3
M,-308,-304,6
A,-157,707,-685
G,-5.5,1.4,0.0
M,-311,-309,6
A,-178,692,-676
G,-1.9,-6.6,-5.3
M,-308,-304,-3
A,-177,683,-688
G,-4.3,-5.8,-5.2
M,-311,-298,-6
A,-193,713,-671
G,-5.6,-5.1,-6.0
M,-313,-301,-4
A,-177,723,-669
G,1.0,-8.8,-8.5
M,-304,-303,15
A,-216,679,-662
G,0.7,-10.9,-10.5
M,-301,-297,0
A,-221,687,-688
G,-4.0,-4.5,-1.8
M,-311,-297,0
A,-193,687,-686
G,-8.4,-6.8,-1.9
M,-317,-306,0
A,-181,705,-671
G,-8.4,-6.8,-1.7
M,-314,-297,0
A,-254,729,-666
G,-7.8,-5.6,-3.0
M,-323,-298,-4
A,-247,723,-652
G,-6.5,-5.1,-8.4
M,-325,-298,-4
A,-232,703,-658
G,-17.2,3.3,-10.2
M,-332,-294,2
A,-188,699,-666
G,-13.5,-2.5,0.9
M,-325,-295,-10
A,-207,722,-650
G,-17.5,-1.1,10.5
M,-331,-297,-4
A,-186,724,-599
G,-8.4,-7.0,3.5
M,-322,-297,-21
A,-189,758,-617
G,-1.8,-4.5,-7.2
M,-317,-301,-45
A,-231,753,-631
G,-1.0,0.9,-0.1
M,-323,-291,-37
A,-185,715,-636
G,-3.6,0.7,-2.2
M,-332,-300,-42
A,-195,753,-624
G,-1.1,2.8,1.0
M,-319,-310,-39
A,-193,786,-582
G,1.1,-0.3,1.8
M,-323,-301,-34
A,-206,804,-591
G,4.1,-3.9,6.7
M,-323,-309,-37
A,-149,808,-593
G,7.4,-14.9,12.0
M,-328,-300,-46
A,-233,745,-576
G,6.7,-12.2,9.7
M,-326,-303,-43
A,-177,760,-632
G,6.5,-14.9,19.2
M,-319,-294,-39
A,-178,803,-612
G,8.2,-17.4,14.9
M,-319,-300,-33
A,-418,735,-589
G,7.7,-18.7,27.0
M,-314,-304,-27
A,-180,791,-593
G,3.9,-27.7,14.3
M,-316,-292,-37
A,-327,752,-576
G,7.6,-28.4,30.1
M,-308,-289,-28
A,-244,772,-599
G,5.5,-26.3,8.1
M,-302,-282,-28
A,-225,802,-570
G,5.0,-22.7,17.2
M,-308,-283,-34
A,-263,704,-620
G,5.3,-17.2,9.8
M,-310,-265,-24
A,-265,723,-599
G,2.5,-12.6,12.1
M,-299,-267,-21
A,-264,766,-605
G,5.1,-10.4,8.9
M,-305,-271,-19
A,-146,696,-705
G,-0.1,-12.4,6.1
M,-305,-252,-16
A,-267,763,-599
G,4.3,-5.3,9.8
M,-293,-250,-30
A,-275,705,-655
G,2.0,-6.6,0.4
M,-301,-259,-21
A,-260,687,-636
G,-2.8,-3.4,-5.7
M,-320,-253,-18
A,-236,704,-653
G,-1.9,1.4,-1.1
M,-305,-249,-22
A,-238,687,-653
G,-5.3,1.8,-10.2
M,-299,-250,-25
A,-233,698,-629
G,-3.6,1.8,-6.7
M,-310,-262,-22
A,-281,676,-629
G,-3.9,10.2,-7.0
M,-301,-262,-28
A,-166,747,-611
G,-1.1,8.1,-15.2
M,-314,-259,-28
A,-203,742,-649
G,-3.2,10.1,-12.4
M,-323,-268,-28
A,-172,750,-638
G,-3.8,7.8,-11.3
M,-308,-279,-33
A,-146,762,-682
G,-4.4,7.4,-10.3
M,-313,-277,-33
A,-177,786,-574
G,-0.3,8.0,2.7
M,-310,-270,-42
A,-120,772,-567
G,-3.9,2.9,-1.3
M,-313,-279,-27
A,-83,839,-568
G,-2.3,-10.9,1.1
M,-320,-276,-39
A,-122,775,-553
G,6.5,-11.5,11.3
M,-322,-282,-34
A,-185,831,-567
G,10.0,-9.4,22.3
M,-317,-277,-43
A,-180,822,-541
G,11.5,-10.5,21.9
M,-304,-277,-30
A,-222,809,-533
G,4.4,-19.3,14.7
M,-298,-273,-37
A,-178,795,-561
G,5.6,-24.5,17.0
M,-314,-274,-34
A,-196,805,-526
G,8.4,-25.2,14.0
M,-305,-273,-28
A,-334,728,-639
G,5.8,-18.6,9.4
M,-302,-265,-33
A,-256,787,-581
G,4.8,-15.6,15.8
M,-301,-262,-22
A,-241,707,-660
G,4.6,-16.9,5.1
M,-304,-246,-18
A,-294,766,-623
G,2.4,-9.9,5.6
M,-298,-241,-12
A,-256,721,-682
G,-1.2,-5.3,-0.6
M,-295,-243,-19
A,-203,700,-680
G,-3.6,2.1,-7.7
M,-295,-246,-27
A,-223,688,-648
G,-4.2,3.0,-3.7
M,-299,-249,-28
A,-213,699,-660
G,-2.0,1.4,-6.9
M,-305,-247,-24
A,-256,648,-653
G,-3.6,11.7,-3.9
M,-302,-255,-19
A,-130,655,-719
G,-5.0,6.6,-16.3
M,-290,-247,-34
A,-165,696,-684
G,-6.5,13.4,-19.1
M,-307,-264,-33
A,-109,761,-634
G,0.4,17.5,-1.9
M,-311,-264,-31
A,-67,695,-642
G,-2.2,9.2,-5.5
M,-322,-270,-36
A,-121,773,-596
G,-2.7,7.6,0.1
M,-304,-277,-33
A,-180,856,-537
G,-2.7,0.9,4.8
M,-314,-286,-27
A,-18,763,-598
G,1.8,-10.0,2.0
M,-308,-271,-24
A,-224,810,-566
G,5.1,-8.1,14.5
M,-310,-279,-34
A,-118,802,-544
G,1.5,-14.2,7.4
M,-307,-282,-34
A,-126,785,-561
G,4.0,-12.9,14.7
M,-308,-285,-30
A,-191,812,-559
G,7.2,-18.8,11.2
M,-314,-283,-21
A,-224,801,-533
G,5.5,-20.3,18.3
M,-301,-277,-30
A,-210,766,-585
G,1.4,-17.7,0.7
M,-295,-265,-12
A,-177,837,-566
G,3.2,-19.0,14.9
M,-304,-267,-12
A,-282,758,-645
G,8.8,-17.0,11.8
M,-293,-258,-19
A,-229,716,-643
G,0.0,-18.6,4.2
M,-292,-249,-12
A,-278,701,-637
G,2.4,-6.7,0.5
M,-292,-241,-19
A,-281,697,-679
G,-3.8,-3.7,-5.1
M,-283,-241,-28
A,-236,732,-647
G,-1.0,10.8,-0.4
M,-284,-243,-27
A,-280,664,-625
G,-2.4,5.0,-8.4
M,-298,-243,-24
A,-213,684,-657
G,-3.9,12.8,7.1
M,-299,-246,-22
A,-134,677,-727
G,-0.3,8.1,-23.8
M,-308,-244,-25
A,-225,718,-648
G,-4.5,18.5,-8.6
M,-296,-249,-28
A,-115,783,-607
G,-2.2,16.4,-10.6
M,-299,-265,-24
A,-84,786,-587
G,-1.5,14.7,1.3
M,-305,-265,-22
A,-47,798,-595
G,-4.1,2.9,-6.6
M,-299,-271,-25
A,23,808,-589
G,1.4,-3.3,1.7
M,-304,-274,-33
A,-216,885,-567
G,3.2,-10.2,2.9
M,-301,-268,-30
A,-83,795,-553
G,5.0,-8.6,14.0
M,-311,-274,-34
A,-271,830,-555
G,2.7,-10.2,15.5
M,-301,-270,-33
A,-244,837,-498
G,1.8,-17.3,16.8
M,-301,-274,-30
A,-155,875,-483
G,8.7,-27.3,9.7
M,-308,-268,-30
A,-263,875,-450
G,8.7,-25.9,14.9
M,-295,-255,-28
A,-247,789,-587
G,6.4,-21.0,12.3
M,-298,-261,-19
A,-169,763,-604
G,3.7,-20.6,6.0
M,-301,-252,-16
A,-282,681,-680
G,8.3,-6.2,10.1
M,-284,-238,-15
A,-285,668,-648
G,0.4,-6.0,2.5
M,-286,-240,-24
A,-293,677,-652
G,-2.6,6.4,-2.5
M,-295,-244,-24
A,-206,659,-713
G,-1.2,10.3,-17.9
M,-292,-241,-31
A,-202,634,-742
G,-5.5,9.1,2.8
M,-290,-253,-28
A,-51,724,-769
G,-2.8,13.7,-25.5
M,-293,-255,-36
A,-119,756,-727
G,-4.6,17.0,-21.9
M,-295,-267,-30
A,-66,721,-638
G,-3.9,21.6,-13.0
M,-293,-265,-25
A,-51,791,-595
G,-6.5,19.4,-0.2
M,-299,-270,-25
A,31,824,-538
G,-4.9,7.7,-4.0
M,-310,-280,-33
A,16,840,-554
G,-1.6,-3.0,12.8
M,-305,-286,-36
A,15,895,-534
G,6.4,-15.8,15.0
M,-298,-283,-34
A,-137,812,-527
G,7.1,-24.0,21.1
M,-299,-282,-36
A,-259,891,-454
G,2.2,-26.7,5.8
M,-298,-288,-31
A,-176,860,-487
G,1.8,-27.0,14.5
M,-293,-271,-33
A,-327,743,-617
G,10.3,-29.2,-0.2
M,-287,-261,-24
A,-284,744,-668
G,9.2,-17.9,12.3
M,-289,-249,-27
A,-336,681,-628
G,6.3,-14.4,2.7
M,-296,-243,-16
A,-355,627,-683
G,-5.3,-1.4,-9.1
M,-295,-241,-16
A,-239,633,-698
G,-0.7,10.6,-9.4
M,-293,-241,-24
A,-113,740,-749
G,-5.6,13.7,-11.6
M,-304,-250,-27
A,-108,658,-728
G,-4.4,7.3,-7.1
M,-295,-247,-19
A,-240,711,-703
G,5.3,12.1,-4.9
M,-293,-247,-25
A,-127,793,-653
G,0.8,22.5,-7.4
M,-299,-268,-18
A,-83,849,-490
G,-8.1,11.1,-4.7
M,-296,-268,-27
A,-85,964,-457
G,-5.3,0.4,2.3
M,-296,-271,-34
A,-147,747,-592
G,7.0,-10.2,-8.5
M,-295,-268,-30
A,-187,755,-653
G,8.4,2.5,2.1
M,-296,-274,-31
A,-131,746,-631
G,1.1,-0.2,7.2
M,-292,-271,-27
A,-148,747,-633
G,2.8,-7.2,-5.2
M,-295,-270,-30
A,-157,748,-638
G,0.9,-6.8,-1.7
M,-292,-270,-22
A,-149,744,-627
G,2.8,-3.4,-2.5
M,-293,-276,-30
A,-143,741,-630
G,6.6,-2.1,-4.9
M,-299,-273,-25
A,-122,927,-731
G,27.0,-11.4,-10.0
M,-283,-259,-27
A,-194,626,-627
G,33.5,-23.4,-21.0
M,-263,-255,-21
A,-235,631,-700
G,8.9,-5.6,-10.8
M,-259,-255,-18
A,-217,679,-692
G,-3.5,4.9,-0.1
M,-257,-241,-13
A,-173,713,-687
G,3.5,-1.1,-8.1
M,-262,-258,-24
A,-188,705,-693
G,12.6,-10.0,-17.6
M,-248,-250,-12
A,-239,643,-688
G,18.6,-13.0,-15.4
M,-245,-249,-9
A,-255,612,-676
G,8.3,-5.9,-4.9
M,-244,-244,-9
A,-238,628,-695
G,-0.7,1.8,5.6
M,-245,-240,-12
A,-219,668,-705
G,-3.9,1.4,8.1
M,-247,-247,-10
A,-192,682,-700
G,0.6,-0.9,1.4
M,-244,-249,-9
A,-236,658,-713
G,4.8,-4.8,-2.8
M,-238,-247,-1
A,-227,651,-724
G,3.7,-2.5,-4.6
M,-238,-249,-10
A,-201,648,-714
G,3.5,-2.7,-4.7
M,-239,-246,-6
A,-228,621,-716
G,2.9,-3.4,-2.1
M,-241,-253,-7
A,-233,638,-710
G,-3.8,1.6,-0.2
M,-241,-255,-15
