Interval,10000,usec,,,,,,,Offsets,,,
pin0,pin1,pin2,pin3,,,,,,924.831683168317,921.405940594059,935.217821782178,818.732673267327
926,920,937,819,,2,-1,2,1,924,921,935,818
926,921,936,819,,2,0,1,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,936,819,,2,0,1,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,936,819,,2,0,1,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,922,937,819,,2,1,2,1,,,,
926,922,937,819,,2,1,2,1,,,,
926,922,936,819,,2,1,1,1,,,,
926,922,936,819,,2,1,1,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,922,937,819,,2,1,2,1,,,,
927,922,936,819,,3,1,1,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,936,819,,2,0,1,1,,,,
926,921,936,819,,2,0,1,1,,,,
926,921,937,819,,2,0,2,1,,,,
926,921,936,819,,2,0,1,1,,,,
926,922,937,819,,2,1,2,1,,,,
926,923,936,818,,2,2,1,0,,,,
927,923,937,818,,3,2,2,0,,,,
926,923,937,818,,2,2,2,0,,,,
926,923,937,819,,2,2,2,1,,,,
926,923,937,819,,2,2,2,1,,,,
926,923,937,819,,2,2,2,1,,,,
926,923,937,818,,2,2,2,0,,,,
926,923,937,819,,2,2,2,1,,,,
926,922,936,818,,2,1,1,0,,,,
926,922,936,818,,2,1,1,0,,,,
926,923,936,819,,2,2,1,1,,,,
926,923,936,819,,2,2,1,1,,,,
926,923,936,818,,2,2,1,0,,,,
926,923,937,819,,2,2,2,1,,,,
926,923,937,818,,2,2,2,0,,,,
926,922,936,819,,2,1,1,1,,,,
926,922,937,819,,2,1,2,1,,,,
926,923,937,819,,2,2,2,1,,,,
926,922,936,819,,2,1,1,1,,,,
926,923,937,819,,2,2,2,1,,,,
924,920,929,811,,0,-1,-6,-7,,,,
919,922,925,815,,-5,1,-10,-3,,,,
923,921,933,817,,-1,0,-2,-1,,,,
923,921,934,818,,-1,0,-1,0,,,,
924,921,934,818,,0,0,-1,0,,,,
924,921,934,818,,0,0,-1,0,,,,
923,921,934,818,,-1,0,-1,0,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,818,,0,0,-1,0,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
923,921,934,819,,-1,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,934,819,,0,0,-1,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,935,819,,0,0,0,1,,,,
924,921,934,819,,0,0,-1,1,,,,
